Model,alpha,l1_ratio,R2 of X train,R2 of X test,예측 데이터 rmse,예측 데이터 R2 score
Ridge,0.0001,,0.5244113957188747,0.47731886619765884,53.11867488554765,0.47731886619765884
Lasso,0.0001,,0.524412142044335,0.47731688374474923,53.11877562112515,0.47731688374474923
Ridge,0.0012000000000000001,,0.5243012113721406,0.4775259531441274,53.108150998938044,0.4775259531441274
Lasso,0.0012000000000000001,,0.5243700888122675,0.47758383956498407,53.105208914107344,0.47758383956498407
Ridge,0.0023,,0.5240969991762334,0.47761134033153063,53.10381112697543,0.47761134033153063
Lasso,0.0023,,0.5242569633833583,0.4777924465148805,53.09460508652622,0.4777924465148805
Ridge,0.0034,,0.5238639286773348,0.4776428327057498,53.10221041238577,0.4776428327057498
Lasso,0.0034,,0.5240729076314476,0.47794280933409117,53.0869605884546,0.47794280933409117
Ridge,0.0045000000000000005,,0.523629254676738,0.47765146054543983,53.101771862597246,0.47765146054543983
Lasso,0.0045000000000000005,,0.52392693097872,0.47809931529628347,53.07900260149628,0.47809931529628347
Ridge,0.005600000000000001,,0.5234042813173108,0.4776520528969507,53.101741753463855,0.4776520528969507
Lasso,0.005600000000000001,,0.5238737930565978,0.4783048401033123,53.06855030061217,0.4783048401033123
Ridge,0.0067,,0.5231932447132475,0.47765181207061247,53.101753994630506,0.47765181207061247
Lasso,0.0067,,0.5238061045469515,0.4784983899196765,53.05870512491437,0.4784983899196765
Ridge,0.0078000000000000005,,0.5229971706842382,0.4776541759852616,53.10163383708131,0.4776541759852616
Lasso,0.0078000000000000005,,0.5235910951000315,0.47859784305563524,53.05364559478287,0.47859784305563524
Ridge,0.0089,,0.5228156379258637,0.477660665273107,53.10130398582047,0.477660665273107
Lasso,0.0089,,0.5233442482110446,0.47866969895673095,53.0499897325928,0.47866969895673095
Ridge,0.01,,0.5226476114183282,0.4776718084100272,53.10073757408634,0.4776718084100272
Lasso,0.01,,0.5230660976490111,0.47871428812904404,53.04772101187013,0.47871428812904404
ElasticNet,0.0001,0.1,0.5209639551269872,0.47826882414055905,53.07038210018736,0.47826882414055905
ElasticNet,0.0001,0.5,0.5219666540485111,0.47779530631644407,53.09445970348694,0.47779530631644407
ElasticNet,0.0001,0.9,0.523915892173388,0.47764650917863316,53.102023539119386,0.47764650917863316
ElasticNet,0.0012000000000000001,0.1,0.49539987521756745,0.47247798113708717,53.364091006906435,0.47247798113708717
ElasticNet,0.0012000000000000001,0.5,0.5098556306888766,0.4793503118353012,53.0153492192872,0.4793503118353012
ElasticNet,0.0012000000000000001,0.9,0.5203545771678824,0.47883994198386515,53.04132715509121,0.47883994198386515
ElasticNet,0.0023,0.1,0.4632252142064063,0.4508318375751186,54.44794535883667,0.4508318375751186
ElasticNet,0.0023,0.5,0.493007591816383,0.4711380809716845,53.4318201304844,0.4711380809716845
ElasticNet,0.0023,0.9,0.5183666185017126,0.480091804162717,52.97758440186291,0.480091804162717
ElasticNet,0.0034,0.1,0.43324832942574854,0.4274011993108269,55.59734301391507,0.4274011993108269
ElasticNet,0.0034,0.5,0.4749287579193271,0.45934929219398357,54.02405864444409,0.45934929219398357
ElasticNet,0.0034,0.9,0.5160952090604161,0.48062520938225506,52.95040097600439,0.48062520938225506
ElasticNet,0.0045000000000000005,0.1,0.40656364213855223,0.40498726091236936,56.6750552521809,0.40498726091236936
ElasticNet,0.0045000000000000005,0.5,0.4572132848039435,0.44639978773608513,54.667214332230095,0.44639978773608513
ElasticNet,0.0045000000000000005,0.9,0.5134621618935409,0.4805140567295326,52.95606669445524,0.4805140567295326
ElasticNet,0.005600000000000001,0.1,0.3829122285751768,0.3842214831480274,57.65554567536936,0.3842214831480274
ElasticNet,0.005600000000000001,0.5,0.4403846611327775,0.4332642828615678,55.311968151263436,0.4332642828615678
ElasticNet,0.005600000000000001,0.9,0.5105206836681953,0.47987496713501177,52.9886308755589,0.47987496713501177
ElasticNet,0.0067,0.1,0.3618836995155754,0.36516353704371507,58.540948109038304,0.36516353704371507
ElasticNet,0.0067,0.5,0.42458272994467683,0.42036781594449746,55.937759324321405,0.42036781594449746
ElasticNet,0.0067,0.9,0.5073341729356879,0.4788082554242181,53.04293958835903,0.4788082554242181
ElasticNet,0.0078000000000000005,0.1,0.3430582865965569,0.34769590121051963,59.34086517405397,0.34769590121051963
ElasticNet,0.0078000000000000005,0.5,0.4098758809863329,0.40783835837977644,56.53910846705632,0.40783835837977644
ElasticNet,0.0078000000000000005,0.9,0.5039580327017984,0.4773969459507019,53.114707219936854,0.4773969459507019
ElasticNet,0.0089,0.1,0.32611428051313385,0.33168219887012995,60.06484140698206,0.33168219887012995
ElasticNet,0.0089,0.5,0.3960625934346833,0.3958718681674328,57.10752650260197,0.3958718681674328
ElasticNet,0.0089,0.9,0.5004381917191284,0.4757062370206987,53.20055535611953,0.4757062370206987
ElasticNet,0.01,0.1,0.3107789780903445,0.31697417675442885,60.722183781506786,0.31697417675442885
ElasticNet,0.01,0.5,0.38313845219305587,0.38443727364557356,57.6454425224298,0.38443727364557356
ElasticNet,0.01,0.9,0.49681277757636466,0.47378958651114567,53.29770876428067,0.47378958651114567
LinearRegression,,,0.5244124363545944,0.4772897164322617,53.1201560709427,0.4772897164322617
Polynomial,,,0.6081125571650736,0.41297706916206667,56.293253982581575,0.41297706916206667
